RefSeqRNA Accession,Entrez ID,Gene Name,Gene Summary,NCBI Link
NM_000905,4852,neuropeptide Y,"This gene encodes a neuropeptide that is widely expressed in the central nervous system and influences many physiological processes, including cortical excitability, stress response, food intake, circadian rhythms, and cardiovascular function. The neuropeptide functions through G protein-coupled receptors to inhibit adenylyl cyclase, activate mitogen-activated protein kinase (MAPK), regulate intracellular calcium levels, and activate potassium channels. A polymorphism in this gene resulting in a change of leucine 7 to proline in the signal peptide is associated with elevated cholesterol levels, higher alcohol consumption, and may be a risk factor for various metabolic and cardiovascular diseases. The protein also exhibits antimicrobial activity against bacteria and fungi.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4852"">https://www.ncbi.nlm.nih.gov/gene/4852</a>"
NM_005654,7025,nuclear receptor subfamily 2 group F member 1,The protein encoded by this gene is a nuclear hormone receptor and transcriptional regulator. The encoded protein acts as a homodimer and binds to 5'-AGGTCA-3' repeats. Defects in this gene are a cause of Bosch-Boonstra optic atrophy syndrome (BBOAS).,"<a href=""https://www.ncbi.nlm.nih.gov/gene/7025"">https://www.ncbi.nlm.nih.gov/gene/7025</a>"
NM_000176,2908,nuclear receptor subfamily 3 group C member 1,"This gene encodes glucocorticoid receptor, which can function both as a transcription factor that binds to glucocorticoid response elements in the promoters of glucocorticoid responsive genes to activate their transcription, and as a regulator of other transcription factors. This receptor is typically found in the cytoplasm, but upon ligand binding, is transported into the nucleus. It is involved in inflammatory responses, cellular proliferation, and differentiation in target tissues. Mutations in this gene are associated with generalized glucocorticoid resistance. Alternative splicing of this gene results in transcript variants encoding either the same or different isoforms. Additional isoforms resulting from the use of alternate in-frame translation initiation sites have also been described, and shown to be functional, displaying diverse cytoplasm-to-nucleus trafficking patterns and distinct transcriptional activities (PMID:15866175).","<a href=""https://www.ncbi.nlm.nih.gov/gene/2908"">https://www.ncbi.nlm.nih.gov/gene/2908</a>"
NM_001202233,3164,nuclear receptor subfamily 4 group A member 1,This gene encodes a member of the steroid-thyroid hormone-retinoid receptor superfamily. Expression is induced by phytohemagglutinin in human lymphocytes and by serum stimulation of arrested fibroblasts. The encoded protein acts as a nuclear transcription factor. Translocation of the protein from the nucleus to mitochondria induces apoptosis. Multiple transcript variants encoding different isoforms have been found for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/3164"">https://www.ncbi.nlm.nih.gov/gene/3164</a>"
NM_006981,8013,nuclear receptor subfamily 4 group A member 3,"This gene encodes a member of the steroid-thyroid hormone-retinoid receptor superfamily. The encoded protein may act as a transcriptional activator. The protein can efficiently bind the NGFI-B Response Element (NBRE). Three different versions of extraskeletal myxoid chondrosarcomas (EMCs) are the result of reciprocal translocations between this gene and other genes. The translocation breakpoints are associated with Nuclear Receptor Subfamily 4, Group A, Member 3 (on chromosome 9) and either Ewing Sarcome Breakpoint Region 1 (on chromosome 22), RNA Polymerase II, TATA Box-Binding Protein-Associated Factor, 68-KD (on chromosome 17), or Transcription factor 12 (on chromosome 15). Multiple transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/8013"">https://www.ncbi.nlm.nih.gov/gene/8013</a>"
NM_001126181,4900,neurogranin,"Neurogranin (NRGN) is the human homolog of the neuron-specific rat RC3/neurogranin gene. This gene encodes a postsynaptic protein kinase substrate that binds calmodulin in the absence of calcium. The NRGN gene contains four exons and three introns. The exons 1 and 2 encode the protein and exons 3 and 4 contain untranslated sequences. It is suggested that the NRGN is a direct target for thyroid hormone in human brain, and that control of expression of this gene could underlay many of the consequences of hypothyroidism on mental states during development as well as in adult subjects.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4900"">https://www.ncbi.nlm.nih.gov/gene/4900</a>"
NM_001024628,8829,neuropilin 1,"This gene encodes one of two neuropilins, which contain specific protein domains which allow them to participate in several different types of signaling pathways that control cell migration. Neuropilins contain a large N-terminal extracellular domain, made up of complement-binding, coagulation factor V/VIII, and meprin domains. These proteins also contains a short membrane-spanning domain and a small cytoplasmic domain. Neuropilins bind many ligands and various types of co-receptors; they affect cell survival, migration, and attraction. Some of the ligands and co-receptors bound by neuropilins are vascular endothelial growth factor (VEGF) and semaphorin family members. Several alternatively spliced transcript variants that encode different protein isoforms have been described for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/8829"">https://www.ncbi.nlm.nih.gov/gene/8829</a>"
NM_006178,4905,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase",,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4905"">https://www.ncbi.nlm.nih.gov/gene/4905</a>"
NM_001144772,8439,neutral sphingomyelinase activation associated factor,This gene encodes a WD-repeat protein that binds the cytoplasmic sphingomyelinase activation domain of the 55kD tumor necrosis factor receptor. This protein is required for TNF-mediated activation of neutral sphingomyelinase and may play a role in regulating TNF-induced cellular responses such as inflammation. Alternative splicing results in multiple transcript variants.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/8439"">https://www.ncbi.nlm.nih.gov/gene/8439</a>"
NM_001007097,4915,neurotrophic receptor tyrosine kinase 2,"This gene encodes a member of the neurotrophic tyrosine receptor kinase (NTRK) family. This kinase is a membrane-bound receptor that, upon neurotrophin binding, phosphorylates itself and members of the MAPK pathway. Signalling through this kinase leads to cell differentiation. Mutations in this gene have been associated with obesity and mood disorders. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4915"">https://www.ncbi.nlm.nih.gov/gene/4915</a>"
NM_001301022,11163,nudix hydrolase 4,"The protein encoded by this gene regulates the turnover of diphosphoinositol polyphosphates. The turnover of these high-energy diphosphoinositol polyphosphates represents a molecular switching activity with important regulatory consequences. Molecular switching by diphosphoinositol polyphosphates may contribute to regulating intracellular trafficking. Several alternatively spliced transcript variants have been described, but the full-length nature of some variants has not been determined. Isoforms DIPP2alpha and DIPP2beta are distinguishable from each other solely by DIPP2beta possessing one additional amino acid due to intron boundary skidding in alternate splicing.","<a href=""https://www.ncbi.nlm.nih.gov/gene/11163"">https://www.ncbi.nlm.nih.gov/gene/11163</a>"
NM_001282611,10439,olfactomedin 1,"This gene product shares extensive sequence similarity with the rat neuronal olfactomedin-related ER localized protein. While the exact function of the encoded protein is not known, its abundant expression in brain suggests that it may have an essential role in nerve tissue. Several alternatively spliced transcripts encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/10439"">https://www.ncbi.nlm.nih.gov/gene/10439</a>"
NM_000911,4985,opioid receptor delta 1,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4985"">https://www.ncbi.nlm.nih.gov/gene/4985</a>"
NM_000912,4986,opioid receptor kappa 1,"This gene encodes an opioid receptor, which is a member of the 7 transmembrane-spanning G protein-coupled receptor family. It functions as a receptor for endogenous ligands, as well as a receptor for various synthetic opioids. Ligand binding results in inhibition of adenylate cyclase activity and neurotransmitter release. This opioid receptor plays a role in the perception of pain and mediating the hypolocomotor, analgesic and aversive actions of synthetic opioids. Variations in this gene have also been associated with alcohol dependence and opiate addiction. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. A recent study provided evidence for translational readthrough in this gene and expression of an additional C-terminally extended isoform via the use of an alternative in-frame translation termination codon.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4986"">https://www.ncbi.nlm.nih.gov/gene/4986</a>"
NM_000914,4988,opioid receptor mu 1,"This gene encodes one of at least three opioid receptors in humans; the mu opioid receptor (MOR). The MOR is the principal target of endogenous opioid peptides and opioid analgesic agents such as beta-endorphin and enkephalins. The MOR also has an important role in dependence to other drugs of abuse, such as nicotine, cocaine, and alcohol via its modulation of the dopamine system. The NM_001008503.2:c.118A>G allele has been associated with opioid and alcohol addiction and variations in pain sensitivity but evidence for it having a causal role is conflicting. Multiple transcript variants encoding different isoforms have been found for this gene. Though the canonical MOR belongs to the superfamily of 7-transmembrane-spanning G-protein-coupled receptors some isoforms of this gene have only 6 transmembrane domains.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4988"">https://www.ncbi.nlm.nih.gov/gene/4988</a>"
